element,CN,method,beta,beta0,n_points,Z,group,Z_over_CN,Z_times_CN,beta_x_Z,beta_x_CN,ionic_radius,radius_cn_used,radius_match_type,beta0_over_beta,beta_x_radius,pred_full,resid_full,pred_simple,resid_simple
Al,3.0,Huber,-1.2785600026852375,2.467496219266196,11,3,Group13,1.0,9.0,-3.8356800080557125,-3.8356800080557125,0.39,4,nearest,-1.9299025576304196,-0.49863840104724266,2.4890959107508217,-0.021599691484625705,2.3647141584988653,0.10278206076733065
Al,4.0,Huber,-3.4987405669146168,6.19641473553495,503,3,Group13,0.75,12.0,-10.49622170074385,-13.994962267658467,0.39,4,exact,-1.7710414982266867,-1.3645088210967007,6.162279786254889,0.034134949280061555,6.146561666967663,0.04985306856728755
Al,5.0,Huber,-2.0372954559696854,3.804430520386712,62,3,Group13,0.6,15.0,-6.111886367909056,-10.186477279848427,0.48,5,exact,-1.867392630381109,-0.9779018188654489,3.7979321864445543,0.006498333942157597,3.887146462191738,-0.08271594180502628
Al,6.0,Huber,-1.4924376597072322,2.869076109307066,543,3,Group13,0.5,18.0,-4.477312979121697,-8.954625958243394,0.535,6,exact,-1.9224093486557323,-0.7984541479433692,2.883301970368148,-0.014225861061082146,2.9503598899294716,-0.08128378062240582
Ga,4.0,Huber,-3.4052645025462867,6.358530911762732,264,3,Group13,0.75,12.0,-10.21579350763886,-13.621058010185147,0.47,4,exact,-1.8672649090865454,-1.6004743161967547,6.417492750994796,-0.05896183923206433,6.398507410862741,-0.03997649910000867
Ga,5.0,Huber,-1.966944384125679,3.838431749763078,49,3,Group13,0.6,15.0,-5.900833152377038,-9.834721920628395,0.55,5,exact,-1.9514693860900845,-1.0818194112691235,3.859499237508637,-0.021067487745559,3.924941043648444,-0.08650929388536577
Ga,6.0,Huber,-1.461905119255367,2.9267598200796465,315,3,Group13,0.5,18.0,-4.3857153577661006,-8.771430715532201,0.62,6,exact,-2.002017628593034,-0.9063811739383275,2.9763343690882236,-0.04957454900857705,3.014829243933879,-0.08806942385423255
In,4.0,Huber,-3.2550630682659794,6.88877352860937,29,3,Group13,0.75,12.0,-9.765189204797938,-13.020252273063917,0.62,4,exact,-2.1163256699290693,-2.0181391023249073,6.8766177230080725,0.012155805601297587,6.848346551064846,0.04042697754452451
In,5.0,Huber,-1.6524736413426984,3.582371646357254,28,3,Group13,0.6,15.0,-4.957420924028095,-8.262368206713491,0.62,4,nearest,-2.1678842897889976,-1.024533657632473,3.4267572945803084,0.15561435177694571,3.422237708993658,0.16013393736359616
In,6.0,Huber,-1.3674921893855074,2.985340469536044,397,3,Group13,0.5,18.0,-4.102476568156522,-8.204953136313044,0.8,6,exact,-2.1830767975921885,-1.093993751508406,3.0792184364228414,-0.09387796688679728,3.0452557802772637,-0.059915310741219585
In,7.0,Huber,-1.2284455011002615,2.785990133465928,14,3,Group13,0.42857142857142855,21.0,-3.6853365033007845,-8.599118507701832,0.8,6,nearest,-2.2678988453054254,-0.9827564008802092,2.7350861786476823,0.05090395481824572,2.700715927700398,0.08527420576553002
